,pcstrip,Year,NUMBER_OF_PATIENTS,SHA,PCT,oseast1m,osnrth1m,lsoa11,msoa11,ru11ind,rgn,laua,imd,depression_perc,alzheimers_perc,blood pressure_perc,hypertension_perc,diabeties_perc,cardiovascular disease_perc,insomnia_perc,addiction_perc,social anxiety_perc,loneliness_perc,depression_zscore,alzheimers_zscore,blood pressure_zscore,hypertension_zscore,diabeties_zscore,cardiovascular disease_zscore,insomnia_zscore,addiction_zscore,social anxiety_zscore,loneliness_zscore,loneills
36,B114RA,2018,222.08333333333334,Q54,04X,409098.0,284337.0,E01009396,E02001908,A1,E12000005,E08000025,2.0,2.8007601102384263,0.0,7.4649077068251515,7.48258120437677,3.9113623165492624,7.176844281381638,0.14567788061639586,0.0,0.008783630401986008,21.517225793162492,-1.8516657859363976,-1.4485446298770457,-0.8295045970906804,-0.8705462778816231,2.4077798896550133,0.5760326556780777,-0.9020547123333945,-0.07757956823376304,-0.6382672553228862,-0.9845193567193123,-5.788658229585111
37,B120UF,2018,525.9166666666666,Q54,04X,407660.0,285144.0,E01009362,E02001897,A1,E12000005,E08000025,50.0,3.876087540140779,0.003966390190819283,7.041884398248079,7.08602898598775,2.412561544767373,5.234701167142447,0.14889118539191698,0.003861459781541132,0.021878718767054134,18.766098273402626,-1.2336092321471608,-1.4220182842422802,-1.0769571537425475,-1.101379679565493,0.6340254628629594,-1.001399421588737,-0.8937061813823299,-0.07119161165961098,-0.5488086886708781,-2.0326830920708123,-5.270713677667752
38,B120YA,2018,339.3333333333333,Q54,04X,407743.0,285164.0,E01009362,E02001897,A1,E12000005,E08000025,50.0,2.661260233455931,0.03249886567194777,5.500026336613782,5.61015839041836,2.69916055808563,5.2633569166662735,0.13027075755498632,0.0,0.0013975068477835543,16.396705721853127,-1.931844911568896,-1.2311993607335088,-1.978885514685773,-1.9604852758082352,0.9732008076842196,-0.9781248759769348,-0.9420841688371517,-0.07757956823376304,-0.6887252597175857,-2.935408003769169,-6.831918544899141
39,B128HE,2018,161.25,Q54,05L,408601.0,284079.0,E01009397,E02001903,A1,E12000005,E08000025,-79.0,1.9102814776059265,0.0,9.828851997061607,10.040759800738178,4.910305210424393,8.318147395533451,0.08111182825461831,0.0,0.0,25.260605712556565,-2.363478411192104,-1.4485446298770457,0.5533129605735625,0.6185717755034023,3.58997795992751,1.5030128194714312,-1.0698046533401382,-0.07757956823376304,-0.6982722712385295,0.4416868263711644,-5.0391077583781785
40,B128QE,2018,859.5833333333334,Q54,05L,408277.0,283815.0,E01033648,E02001910,A1,E12000005,E08000025,95.0,2.992090928097032,0.034721770347803625,6.281980507597474,6.400486275582581,4.022033203908799,5.405013006320342,0.3803437764531962,0.0,0.036719328300524046,19.234688960709754,-1.7416962430501866,-1.2163330629392646,-1.5214720462757882,-1.500434705623032,2.5387532518701947,-0.8630700903011398,-0.2923660486631079,-0.07757956823376304,-0.4474256647389554,-1.8541527398312196,-5.27583529324831
41,B129LP,2018,1254.9166666666667,Q54,04X,407711.0,284387.0,E01009374,E02001910,A1,E12000005,E08000025,-19.0,3.945507907924356,0.0,5.882904270177737,5.911831604268503,2.907725169423409,4.783073774483631,0.39102652309057045,0.0,0.05970514152077583,17.93916497919047,-1.1937090937502495,-1.4485446298770457,-1.7549164765146232,-1.7848810276897178,1.2200264095904247,-1.3682166406336214,-0.264611058964057,-0.07757956823376304,-0.2903990111808369,-2.347739913073276,-5.05972438969567
42,B129RR,2018,396.0,Q54,04X,407398.0,283993.0,E01009182,E02001918,A1,E12000005,E08000025,79.0,3.5109575968529403,0.06944514841035791,6.56396231667346,6.592615109299026,2.9374056723223383,6.2638198731307355,0.45930845997355957,0.0,0.08470727358170037,19.833551859988958,-1.4434717802030896,-0.984110743958667,-1.3565234059280935,-1.3885963393455945,1.2551517740801965,-0.16553678806845987,-0.08720682771623733,-0.07757956823376304,-0.11959795699467915,-1.6259894253489053,-4.100563216452031
43,B130HN,2018,679.75,Q54,13P,408866.0,281169.0,E01008932,E02001937,A1,E12000005,E08000025,-50.0,5.236072204086736,0.0020109418876062073,7.1805550260941,7.232839754633619,1.7219583610063618,5.984642064108809,0.672924464151921,0.0,0.02990347096265038,20.85044778987505,-0.4519427264569085,-1.4350958926132387,-0.9958401072411592,-1.015920999576205,-0.18326825449779005,-0.39228837397554184,0.4677918254185459,-0.07757956823376304,-0.4939879185361315,-1.2385579345592017,-3.0067352799977005
44,B138JS,2018,264.4166666666667,Q54,13P,407588.0,283172.0,E01009184,E02001918,A1,E12000005,E08000025,96.0,6.800421619108846,0.0,7.058889843179794,7.138812559264618,1.3950351450941352,5.040899349910279,1.0188002245879306,0.0,0.06741599134117578,21.393968897965806,0.4471847220622569,-1.4485446298770457,-1.0670096148243966,-1.0706543142604463,-0.5701652406502584,-1.1588075965544522,1.3664163546634351,-0.07757956823376304,-0.2377226524292643,-1.0314795236869503,-1.0209000880748271
45,B138QS,2018,317.8333333333333,Q54,04X,406179.0,282249.0,E01009186,E02001914,A1,E12000005,E08000025,127.0,3.6850990744174865,0.017308327417337146,7.296457413341204,7.532477184572538,2.223634741279657,4.606570515275526,0.293860011010368,0.0,0.09164895696768326,18.358949853972913,-1.343382004287039,-1.332790341129892,-0.9280416160827808,-0.8415017830967241,0.41044020701364115,-1.5115747179945023,-0.5170606988762881,-0.07757956823376304,-0.07217612763775627,-2.187804294227649,-4.184490523261462
46,B139HD,2018,710.5833333333334,Q54,13P,408025.0,283133.0,E01009385,E02001918,A1,E12000005,E08000025,-97.0,5.902741394355327,0.0,9.406477326989286,9.500117601171274,1.3998979140276993,6.326857470340982,0.43939702870571334,0.004920156072165921,0.10559550736108829,23.57393156467316,-0.06876709939019968,-1.4485446298770457,0.3062398327926091,0.3038634666535194,-0.5644104011247079,-0.11433689080845766,-0.13893898878790237,-0.06944022583343831,0.02309916743105423,-0.20092630677818216,-1.3987283098040124
47,B139LH,2018,277.25,Q54,04X,409254.0,282699.0,E01009395,E02001923,A1,E12000005,E08000025,22.0,1.5279565440740288,0.03802417119013701,7.510834391866674,7.732505102732467,3.900633825581593,5.343150366304857,0.17009621618140655,0.0,0.26871683760126713,18.71236622606449,-2.5832239735906017,-1.1942473320973925,-0.8026392319875202,-0.7250653526861823,2.3950832666581636,-0.9133156731469037,-0.838613101755104,-0.07757956823376304,1.1374559389807464,-2.053154692547893,-4.281273389382297
