,Middle Layer Super Output Areas Code,age,Count
2030,W02000221,0-10,1033
2031,W02000221,10-20,916
2032,W02000221,20-30,978
2033,W02000221,30-40,992
2034,W02000221,40-50,923
2035,W02000221,50-60,1170
2036,W02000221,60-70,818
2037,W02000221,70-80,596
2038,W02000221,80-90,232
2039,W02000221,90-100,27
2040,W02000222,0-10,641
2041,W02000222,10-20,731
2042,W02000222,20-30,672
2043,W02000222,30-40,637
2044,W02000222,40-50,719
2045,W02000222,50-60,850
2046,W02000222,60-70,841
2047,W02000222,70-80,722
2048,W02000222,80-90,313
2049,W02000222,90-100,44
2050,W02000223,0-10,760
2051,W02000223,10-20,576
2052,W02000223,20-30,698
2053,W02000223,30-40,789
2054,W02000223,40-50,794
2055,W02000223,50-60,955
2056,W02000223,60-70,677
2057,W02000223,70-80,501
2058,W02000223,80-90,219
2059,W02000223,90-100,36
2060,W02000224,0-10,856
2061,W02000224,10-20,692
2062,W02000224,20-30,864
2063,W02000224,30-40,943
2064,W02000224,40-50,780
2065,W02000224,50-60,914
2066,W02000224,60-70,674
2067,W02000224,70-80,554
2068,W02000224,80-90,198
2069,W02000224,90-100,26
2070,W02000225,0-10,1113
2071,W02000225,10-20,1051
2072,W02000225,20-30,994
2073,W02000225,30-40,1148
2074,W02000225,40-50,1018
2075,W02000225,50-60,1375
2076,W02000225,60-70,1011
2077,W02000225,70-80,806
2078,W02000225,80-90,325
2079,W02000225,90-100,48
2080,W02000226,0-10,1129
2081,W02000226,10-20,1124
2082,W02000226,20-30,1023
2083,W02000226,30-40,1149
2084,W02000226,40-50,1308
2085,W02000226,50-60,1506
2086,W02000226,60-70,1219
2087,W02000226,70-80,1121
2088,W02000226,80-90,400
2089,W02000226,90-100,44
2090,W02000227,0-10,1065
2091,W02000227,10-20,876
2092,W02000227,20-30,827
2093,W02000227,30-40,1040
2094,W02000227,40-50,896
2095,W02000227,50-60,980
2096,W02000227,60-70,773
2097,W02000227,70-80,679
2098,W02000227,80-90,237
2099,W02000227,90-100,43
2100,W02000228,0-10,1699
2101,W02000228,10-20,992
2102,W02000228,20-30,2299
2103,W02000228,30-40,2427
2104,W02000228,40-50,1571
2105,W02000228,50-60,1254
2106,W02000228,60-70,829
2107,W02000228,70-80,722
2108,W02000228,80-90,318
2109,W02000228,90-100,48
2110,W02000229,0-10,722
2111,W02000229,10-20,670
2112,W02000229,20-30,677
2113,W02000229,30-40,756
2114,W02000229,40-50,705
2115,W02000229,50-60,932
2116,W02000229,60-70,770
2117,W02000229,70-80,597
2118,W02000229,80-90,243
2119,W02000229,90-100,46
2120,W02000230,0-10,596
2121,W02000230,10-20,535
2122,W02000230,20-30,557
2123,W02000230,30-40,668
2124,W02000230,40-50,706
2125,W02000230,50-60,859
2126,W02000230,60-70,735
2127,W02000230,70-80,674
2128,W02000230,80-90,312
2129,W02000230,90-100,35
2130,W02000231,0-10,1032
2131,W02000231,10-20,838
2132,W02000231,20-30,1011
2133,W02000231,30-40,1219
2134,W02000231,40-50,1103
2135,W02000231,50-60,1124
2136,W02000231,60-70,878
2137,W02000231,70-80,710
2138,W02000231,80-90,357
2139,W02000231,90-100,55
2140,W02000232,0-10,665
2141,W02000232,10-20,575
2142,W02000232,20-30,694
2143,W02000232,30-40,755
2144,W02000232,40-50,671
2145,W02000232,50-60,999
2146,W02000232,60-70,686
2147,W02000232,70-80,485
2148,W02000232,80-90,195
2149,W02000232,90-100,23
2150,W02000233,0-10,840
2151,W02000233,10-20,709
2152,W02000233,20-30,761
2153,W02000233,30-40,865
2154,W02000233,40-50,753
2155,W02000233,50-60,866
2156,W02000233,60-70,686
2157,W02000233,70-80,487
2158,W02000233,80-90,207
2159,W02000233,90-100,34
2160,W02000234,0-10,1363
2161,W02000234,10-20,1356
2162,W02000234,20-30,1024
2163,W02000234,30-40,1367
2164,W02000234,40-50,1630
2165,W02000234,50-60,1596
2166,W02000234,60-70,1162
2167,W02000234,70-80,748
2168,W02000234,80-90,324
2169,W02000234,90-100,67
2170,W02000235,0-10,703
2171,W02000235,10-20,786
2172,W02000235,20-30,729
2173,W02000235,30-40,744
2174,W02000235,40-50,985
2175,W02000235,50-60,1461
2176,W02000235,60-70,1431
2177,W02000235,70-80,1355
2178,W02000235,80-90,798
2179,W02000235,90-100,178
2180,W02000236,0-10,600
2181,W02000236,10-20,657
2182,W02000236,20-30,582
2183,W02000236,30-40,589
2184,W02000236,40-50,828
2185,W02000236,50-60,1168
2186,W02000236,60-70,1117
2187,W02000236,70-80,941
2188,W02000236,80-90,402
2189,W02000236,90-100,75
2190,W02000237,0-10,715
2191,W02000237,10-20,599
2192,W02000237,20-30,443
2193,W02000237,30-40,631
2194,W02000237,40-50,787
2195,W02000237,50-60,1009
2196,W02000237,60-70,935
2197,W02000237,70-80,729
2198,W02000237,80-90,246
2199,W02000237,90-100,33
2200,W02000238,0-10,720
2201,W02000238,10-20,680
2202,W02000238,20-30,379
2203,W02000238,30-40,589
2204,W02000238,40-50,780
2205,W02000238,50-60,905
2206,W02000238,60-70,940
2207,W02000238,70-80,996
2208,W02000238,80-90,462
2209,W02000238,90-100,99
2210,W02000239,0-10,858
2211,W02000239,10-20,812
2212,W02000239,20-30,739
2213,W02000239,30-40,873
2214,W02000239,40-50,947
2215,W02000239,50-60,1378
2216,W02000239,60-70,1075
2217,W02000239,70-80,964
2218,W02000239,80-90,324
2219,W02000239,90-100,38
2220,W02000240,0-10,1171
2221,W02000240,10-20,1112
2222,W02000240,20-30,815
2223,W02000240,30-40,1173
2224,W02000240,40-50,1254
2225,W02000240,50-60,1252
2226,W02000240,60-70,949
2227,W02000240,70-80,814
2228,W02000240,80-90,397
2229,W02000240,90-100,54
2230,W02000241,0-10,1102
2231,W02000241,10-20,1016
2232,W02000241,20-30,972
2233,W02000241,30-40,1214
2234,W02000241,40-50,1463
2235,W02000241,50-60,1422
2236,W02000241,60-70,1263
2237,W02000241,70-80,1030
2238,W02000241,80-90,549
2239,W02000241,90-100,138
2240,W02000242,0-10,955
2241,W02000242,10-20,764
2242,W02000242,20-30,761
2243,W02000242,30-40,927
2244,W02000242,40-50,983
2245,W02000242,50-60,1170
2246,W02000242,60-70,1040
2247,W02000242,70-80,1016
2248,W02000242,80-90,524
2249,W02000242,90-100,75
2250,W02000243,0-10,1475
2251,W02000243,10-20,1226
2252,W02000243,20-30,1149
2253,W02000243,30-40,1347
2254,W02000243,40-50,1002
2255,W02000243,50-60,1243
2256,W02000243,60-70,874
2257,W02000243,70-80,681
2258,W02000243,80-90,320
2259,W02000243,90-100,41
2260,W02000244,0-10,1211
2261,W02000244,10-20,1176
2262,W02000244,20-30,841
2263,W02000244,30-40,1010
2264,W02000244,40-50,1346
2265,W02000244,50-60,1431
2266,W02000244,60-70,1324
2267,W02000244,70-80,1143
2268,W02000244,80-90,576
2269,W02000244,90-100,108
2270,W02000245,0-10,1090
2271,W02000245,10-20,990
2272,W02000245,20-30,975
2273,W02000245,30-40,1133
2274,W02000245,40-50,1116
2275,W02000245,50-60,1185
2276,W02000245,60-70,963
2277,W02000245,70-80,598
2278,W02000245,80-90,212
2279,W02000245,90-100,19
2280,W02000246,0-10,454
2281,W02000246,10-20,485
2282,W02000246,20-30,410
2283,W02000246,30-40,520
2284,W02000246,40-50,577
2285,W02000246,50-60,824
2286,W02000246,60-70,919
2287,W02000246,70-80,767
2288,W02000246,80-90,298
2289,W02000246,90-100,56
2290,W02000247,0-10,868
2291,W02000247,10-20,1105
2292,W02000247,20-30,764
2293,W02000247,30-40,913
2294,W02000247,40-50,1014
2295,W02000247,50-60,1280
2296,W02000247,60-70,1163
2297,W02000247,70-80,1051
2298,W02000247,80-90,452
2299,W02000247,90-100,69
2300,W02000248,0-10,1606
2301,W02000248,10-20,1300
2302,W02000248,20-30,1440
2303,W02000248,30-40,1615
2304,W02000248,40-50,1308
2305,W02000248,50-60,1383
2306,W02000248,60-70,1026
2307,W02000248,70-80,666
2308,W02000248,80-90,260
2309,W02000248,90-100,43
2310,W02000249,0-10,1133
2311,W02000249,10-20,969
2312,W02000249,20-30,1023
2313,W02000249,30-40,1192
2314,W02000249,40-50,1167
2315,W02000249,50-60,1179
2316,W02000249,60-70,944
2317,W02000249,70-80,662
2318,W02000249,80-90,364
2319,W02000249,90-100,129
2320,W02000250,0-10,1489
2321,W02000250,10-20,1367
2322,W02000250,20-30,1395
2323,W02000250,30-40,1515
2324,W02000250,40-50,1385
2325,W02000250,50-60,1658
2326,W02000250,60-70,1447
2327,W02000250,70-80,934
2328,W02000250,80-90,379
2329,W02000250,90-100,57
2330,W02000251,0-10,1526
2331,W02000251,10-20,1026
2332,W02000251,20-30,1522
2333,W02000251,30-40,1676
2334,W02000251,40-50,1321
2335,W02000251,50-60,1404
2336,W02000251,60-70,1245
2337,W02000251,70-80,879
2338,W02000251,80-90,358
2339,W02000251,90-100,80
2340,W02000252,0-10,1169
2341,W02000252,10-20,1152
2342,W02000252,20-30,969
2343,W02000252,30-40,1084
2344,W02000252,40-50,1036
2345,W02000252,50-60,1270
2346,W02000252,60-70,1138
2347,W02000252,70-80,1020
2348,W02000252,80-90,266
2349,W02000252,90-100,80
2350,W02000253,0-10,774
2351,W02000253,10-20,661
2352,W02000253,20-30,975
2353,W02000253,30-40,812
2354,W02000253,40-50,818
2355,W02000253,50-60,1017
2356,W02000253,60-70,750
2357,W02000253,70-80,614
2358,W02000253,80-90,274
2359,W02000253,90-100,73
2360,W02000254,0-10,941
2361,W02000254,10-20,876
2362,W02000254,20-30,967
2363,W02000254,30-40,959
2364,W02000254,40-50,1014
2365,W02000254,50-60,1143
2366,W02000254,60-70,878
2367,W02000254,70-80,791
2368,W02000254,80-90,313
2369,W02000254,90-100,62
2370,W02000255,0-10,815
2371,W02000255,10-20,780
2372,W02000255,20-30,752
2373,W02000255,30-40,856
2374,W02000255,40-50,855
2375,W02000255,50-60,1014
2376,W02000255,60-70,847
2377,W02000255,70-80,664
2378,W02000255,80-90,286
2379,W02000255,90-100,43
2380,W02000256,0-10,1421
2381,W02000256,10-20,1045
2382,W02000256,20-30,1378
2383,W02000256,30-40,1338
2384,W02000256,40-50,1154
2385,W02000256,50-60,1330
2386,W02000256,60-70,1045
2387,W02000256,70-80,855
2388,W02000256,80-90,403
2389,W02000256,90-100,34
2390,W02000257,0-10,827
2391,W02000257,10-20,845
2392,W02000257,20-30,918
2393,W02000257,30-40,913
2394,W02000257,40-50,832
2395,W02000257,50-60,1044
2396,W02000257,60-70,841
2397,W02000257,70-80,699
2398,W02000257,80-90,288
2399,W02000257,90-100,46
2400,W02000258,0-10,742
2401,W02000258,10-20,620
2402,W02000258,20-30,688
2403,W02000258,30-40,672
2404,W02000258,40-50,624
2405,W02000258,50-60,795
2406,W02000258,60-70,767
2407,W02000258,70-80,523
2408,W02000258,80-90,218
2409,W02000258,90-100,42
2410,W02000259,0-10,787
2411,W02000259,10-20,738
2412,W02000259,20-30,707
2413,W02000259,30-40,765
2414,W02000259,40-50,640
2415,W02000259,50-60,784
2416,W02000259,60-70,611
2417,W02000259,70-80,472
2418,W02000259,80-90,204
2419,W02000259,90-100,40
2420,W02000260,0-10,679
2421,W02000260,10-20,616
2422,W02000260,20-30,664
2423,W02000260,30-40,657
2424,W02000260,40-50,631
2425,W02000260,50-60,795
2426,W02000260,60-70,745
2427,W02000260,70-80,649
2428,W02000260,80-90,226
2429,W02000260,90-100,24
2430,W02000261,0-10,831
2431,W02000261,10-20,904
2432,W02000261,20-30,922
2433,W02000261,30-40,879
2434,W02000261,40-50,919
2435,W02000261,50-60,1140
2436,W02000261,60-70,873
2437,W02000261,70-80,765
2438,W02000261,80-90,360
2439,W02000261,90-100,53
2440,W02000262,0-10,659
2441,W02000262,10-20,652
2442,W02000262,20-30,646
2443,W02000262,30-40,623
2444,W02000262,40-50,618
2445,W02000262,50-60,766
2446,W02000262,60-70,613
2447,W02000262,70-80,484
2448,W02000262,80-90,211
2449,W02000262,90-100,25
2450,W02000263,0-10,873
2451,W02000263,10-20,753
2452,W02000263,20-30,823
2453,W02000263,30-40,907
2454,W02000263,40-50,714
2455,W02000263,50-60,876
2456,W02000263,60-70,745
2457,W02000263,70-80,504
2458,W02000263,80-90,172
2459,W02000263,90-100,14
2460,W02000264,0-10,825
2461,W02000264,10-20,648
2462,W02000264,20-30,777
2463,W02000264,30-40,758
2464,W02000264,40-50,641
2465,W02000264,50-60,803
2466,W02000264,60-70,601
2467,W02000264,70-80,469
2468,W02000264,80-90,185
2469,W02000264,90-100,20
2470,W02000265,0-10,1186
2471,W02000265,10-20,1039
2472,W02000265,20-30,1238
2473,W02000265,30-40,1160
2474,W02000265,40-50,1064
2475,W02000265,50-60,1229
2476,W02000265,60-70,1063
2477,W02000265,70-80,805
2478,W02000265,80-90,352
2479,W02000265,90-100,58
2480,W02000266,0-10,989
2481,W02000266,10-20,873
2482,W02000266,20-30,912
2483,W02000266,30-40,1065
2484,W02000266,40-50,850
2485,W02000266,50-60,1126
2486,W02000266,60-70,823
2487,W02000266,70-80,606
2488,W02000266,80-90,216
2489,W02000266,90-100,35
2490,W02000267,0-10,814
2491,W02000267,10-20,775
2492,W02000267,20-30,810
2493,W02000267,30-40,860
2494,W02000267,40-50,743
2495,W02000267,50-60,809
2496,W02000267,60-70,672
2497,W02000267,70-80,574
2498,W02000267,80-90,241
2499,W02000267,90-100,35
2500,W02000268,0-10,993
2501,W02000268,10-20,963
2502,W02000268,20-30,1118
2503,W02000268,30-40,1217
2504,W02000268,40-50,1024
2505,W02000268,50-60,1252
2506,W02000268,60-70,1126
2507,W02000268,70-80,765
2508,W02000268,80-90,390
2509,W02000268,90-100,62
2510,W02000269,0-10,983
2511,W02000269,10-20,991
2512,W02000269,20-30,979
2513,W02000269,30-40,1070
2514,W02000269,40-50,1008
2515,W02000269,50-60,1111
2516,W02000269,60-70,941
2517,W02000269,70-80,727
2518,W02000269,80-90,333
2519,W02000269,90-100,52
2520,W02000270,0-10,788
2521,W02000270,10-20,663
2522,W02000270,20-30,871
2523,W02000270,30-40,913
2524,W02000270,40-50,786
2525,W02000270,50-60,930
2526,W02000270,60-70,772
2527,W02000270,70-80,567
2528,W02000270,80-90,243
2529,W02000270,90-100,55
2530,W02000271,0-10,714
2531,W02000271,10-20,591
2532,W02000271,20-30,660
2533,W02000271,30-40,740
2534,W02000271,40-50,619
2535,W02000271,50-60,804
2536,W02000271,60-70,604
2537,W02000271,70-80,507
2538,W02000271,80-90,193
2539,W02000271,90-100,28
2540,W02000272,0-10,1132
2541,W02000272,10-20,1038
2542,W02000272,20-30,1334
2543,W02000272,30-40,1329
2544,W02000272,40-50,1178
2545,W02000272,50-60,1472
2546,W02000272,60-70,1040
2547,W02000272,70-80,900
2548,W02000272,80-90,419
2549,W02000272,90-100,81
2550,W02000273,0-10,1188
2551,W02000273,10-20,1811
2552,W02000273,20-30,2447
2553,W02000273,30-40,1458
2554,W02000273,40-50,973
2555,W02000273,50-60,937
2556,W02000273,60-70,734
2557,W02000273,70-80,630
2558,W02000273,80-90,208
2559,W02000273,90-100,36
2560,W02000274,0-10,1281
2561,W02000274,10-20,1238
2562,W02000274,20-30,1243
2563,W02000274,30-40,1348
2564,W02000274,40-50,1292
2565,W02000274,50-60,1537
2566,W02000274,60-70,1035
2567,W02000274,70-80,808
2568,W02000274,80-90,351
2569,W02000274,90-100,46
2570,W02000275,0-10,726
2571,W02000275,10-20,677
2572,W02000275,20-30,763
2573,W02000275,30-40,762
2574,W02000275,40-50,714
2575,W02000275,50-60,854
2576,W02000275,60-70,667
2577,W02000275,70-80,611
2578,W02000275,80-90,251
2579,W02000275,90-100,32
2580,W02000276,0-10,852
2581,W02000276,10-20,656
2582,W02000276,20-30,675
2583,W02000276,30-40,901
2584,W02000276,40-50,751
2585,W02000276,50-60,739
2586,W02000276,60-70,793
2587,W02000276,70-80,810
2588,W02000276,80-90,289
2589,W02000276,90-100,45
2590,W02000277,0-10,766
2591,W02000277,10-20,653
2592,W02000277,20-30,812
2593,W02000277,30-40,954
2594,W02000277,40-50,907
2595,W02000277,50-60,1038
2596,W02000277,60-70,814
2597,W02000277,70-80,652
2598,W02000277,80-90,285
2599,W02000277,90-100,65
2600,W02000278,0-10,1053
2601,W02000278,10-20,1104
2602,W02000278,20-30,879
2603,W02000278,30-40,1093
2604,W02000278,40-50,1407
2605,W02000278,50-60,1320
2606,W02000278,60-70,1024
2607,W02000278,70-80,781
2608,W02000278,80-90,248
2609,W02000278,90-100,30
2610,W02000279,0-10,991
2611,W02000279,10-20,864
2612,W02000279,20-30,992
2613,W02000279,30-40,1073
2614,W02000279,40-50,857
2615,W02000279,50-60,1178
2616,W02000279,60-70,910
2617,W02000279,70-80,646
2618,W02000279,80-90,209
2619,W02000279,90-100,23
2620,W02000280,0-10,1427
2621,W02000280,10-20,1091
2622,W02000280,20-30,1084
2623,W02000280,30-40,1517
2624,W02000280,40-50,1219
2625,W02000280,50-60,1290
2626,W02000280,60-70,1005
2627,W02000280,70-80,711
2628,W02000280,80-90,211
2629,W02000280,90-100,26
2630,W02000281,0-10,801
2631,W02000281,10-20,818
2632,W02000281,20-30,677
2633,W02000281,30-40,842
2634,W02000281,40-50,1090
2635,W02000281,50-60,1110
2636,W02000281,60-70,952
2637,W02000281,70-80,803
2638,W02000281,80-90,316
2639,W02000281,90-100,50
2640,W02000282,0-10,1496
2641,W02000282,10-20,1420
2642,W02000282,20-30,1062
2643,W02000282,30-40,1465
2644,W02000282,40-50,1767
2645,W02000282,50-60,1565
2646,W02000282,60-70,1245
2647,W02000282,70-80,1021
2648,W02000282,80-90,372
2649,W02000282,90-100,50
2650,W02000284,0-10,1218
2651,W02000284,10-20,981
2652,W02000284,20-30,1220
2653,W02000284,30-40,1294
2654,W02000284,40-50,1124
2655,W02000284,50-60,1349
2656,W02000284,60-70,1061
2657,W02000284,70-80,788
2658,W02000284,80-90,291
2659,W02000284,90-100,30
2660,W02000285,0-10,1032
2661,W02000285,10-20,834
2662,W02000285,20-30,877
2663,W02000285,30-40,1149
2664,W02000285,40-50,981
2665,W02000285,50-60,1226
2666,W02000285,60-70,1032
2667,W02000285,70-80,774
2668,W02000285,80-90,366
2669,W02000285,90-100,62
2670,W02000286,0-10,873
2671,W02000286,10-20,811
2672,W02000286,20-30,776
2673,W02000286,30-40,967
2674,W02000286,40-50,812
2675,W02000286,50-60,911
2676,W02000286,60-70,782
2677,W02000286,70-80,516
2678,W02000286,80-90,250
2679,W02000286,90-100,32
2680,W02000287,0-10,1014
2681,W02000287,10-20,920
2682,W02000287,20-30,1019
2683,W02000287,30-40,1114
2684,W02000287,40-50,1049
2685,W02000287,50-60,1198
2686,W02000287,60-70,915
2687,W02000287,70-80,736
2688,W02000287,80-90,282
2689,W02000287,90-100,43
2690,W02000288,0-10,1008
2691,W02000288,10-20,808
2692,W02000288,20-30,1063
2693,W02000288,30-40,1097
2694,W02000288,40-50,865
2695,W02000288,50-60,1189
2696,W02000288,60-70,943
2697,W02000288,70-80,732
2698,W02000288,80-90,322
2699,W02000288,90-100,45
2700,W02000289,0-10,1049
2701,W02000289,10-20,956
2702,W02000289,20-30,1009
2703,W02000289,30-40,1222
2704,W02000289,40-50,1010
2705,W02000289,50-60,1289
2706,W02000289,60-70,1054
2707,W02000289,70-80,777
2708,W02000289,80-90,269
2709,W02000289,90-100,45
2710,W02000290,0-10,1014
2711,W02000290,10-20,907
2712,W02000290,20-30,1032
2713,W02000290,30-40,1108
2714,W02000290,40-50,977
2715,W02000290,50-60,1345
2716,W02000290,60-70,1019
2717,W02000290,70-80,799
2718,W02000290,80-90,308
2719,W02000290,90-100,30
2720,W02000291,0-10,883
2721,W02000291,10-20,828
2722,W02000291,20-30,898
2723,W02000291,30-40,881
2724,W02000291,40-50,829
2725,W02000291,50-60,1035
2726,W02000291,60-70,767
2727,W02000291,70-80,641
2728,W02000291,80-90,287
2729,W02000291,90-100,40
2730,W02000292,0-10,784
2731,W02000292,10-20,678
2732,W02000292,20-30,739
2733,W02000292,30-40,767
2734,W02000292,40-50,684
2735,W02000292,50-60,787
2736,W02000292,60-70,680
2737,W02000292,70-80,459
2738,W02000292,80-90,205
2739,W02000292,90-100,32
2740,W02000293,0-10,843
2741,W02000293,10-20,626
2742,W02000293,20-30,819
2743,W02000293,30-40,800
2744,W02000293,40-50,620
2745,W02000293,50-60,880
2746,W02000293,60-70,642
2747,W02000293,70-80,547
2748,W02000293,80-90,232
2749,W02000293,90-100,34
2750,W02000294,0-10,606
2751,W02000294,10-20,563
2752,W02000294,20-30,610
2753,W02000294,30-40,630
2754,W02000294,40-50,655
2755,W02000294,50-60,857
2756,W02000294,60-70,804
2757,W02000294,70-80,591
2758,W02000294,80-90,251
2759,W02000294,90-100,34
2760,W02000295,0-10,1210
2761,W02000295,10-20,1122
2762,W02000295,20-30,1051
2763,W02000295,30-40,1249
2764,W02000295,40-50,1200
2765,W02000295,50-60,1375
2766,W02000295,60-70,1061
2767,W02000295,70-80,877
2768,W02000295,80-90,329
2769,W02000295,90-100,35
2770,W02000296,0-10,888
2771,W02000296,10-20,824
2772,W02000296,20-30,875
2773,W02000296,30-40,874
2774,W02000296,40-50,956
2775,W02000296,50-60,1029
2776,W02000296,60-70,882
2777,W02000296,70-80,739
2778,W02000296,80-90,281
2779,W02000296,90-100,47
2780,W02000297,0-10,903
2781,W02000297,10-20,784
2782,W02000297,20-30,965
2783,W02000297,30-40,914
2784,W02000297,40-50,892
2785,W02000297,50-60,1117
2786,W02000297,60-70,912
2787,W02000297,70-80,721
2788,W02000297,80-90,259
2789,W02000297,90-100,21
2790,W02000298,0-10,799
2791,W02000298,10-20,898
2792,W02000298,20-30,831
2793,W02000298,30-40,856
2794,W02000298,40-50,977
2795,W02000298,50-60,988
2796,W02000298,60-70,806
2797,W02000298,70-80,680
2798,W02000298,80-90,275
2799,W02000298,90-100,37
2800,W02000299,0-10,728
2801,W02000299,10-20,739
2802,W02000299,20-30,673
2803,W02000299,30-40,769
2804,W02000299,40-50,708
2805,W02000299,50-60,913
2806,W02000299,60-70,755
2807,W02000299,70-80,659
2808,W02000299,80-90,248
2809,W02000299,90-100,49
2810,W02000300,0-10,983
2811,W02000300,10-20,997
2812,W02000300,20-30,887
2813,W02000300,30-40,1059
2814,W02000300,40-50,1045
2815,W02000300,50-60,1124
2816,W02000300,60-70,1037
2817,W02000300,70-80,825
2818,W02000300,80-90,348
2819,W02000300,90-100,74
2820,W02000301,0-10,1034
2821,W02000301,10-20,934
2822,W02000301,20-30,1016
2823,W02000301,30-40,1134
2824,W02000301,40-50,958
2825,W02000301,50-60,1118
2826,W02000301,60-70,938
2827,W02000301,70-80,579
2828,W02000301,80-90,202
2829,W02000301,90-100,19
2830,W02000302,0-10,1216
2831,W02000302,10-20,1101
2832,W02000302,20-30,1054
2833,W02000302,30-40,1305
2834,W02000302,40-50,1276
2835,W02000302,50-60,1384
2836,W02000302,60-70,1123
2837,W02000302,70-80,993
2838,W02000302,80-90,442
2839,W02000302,90-100,57
2840,W02000303,0-10,883
2841,W02000303,10-20,735
2842,W02000303,20-30,905
2843,W02000303,30-40,1038
2844,W02000303,40-50,929
2845,W02000303,50-60,1028
2846,W02000303,60-70,776
2847,W02000303,70-80,559
2848,W02000303,80-90,222
2849,W02000303,90-100,37
2850,W02000304,0-10,669
2851,W02000304,10-20,565
2852,W02000304,20-30,667
2853,W02000304,30-40,721
2854,W02000304,40-50,697
2855,W02000304,50-60,808
2856,W02000304,60-70,615
2857,W02000304,70-80,537
2858,W02000304,80-90,188
2859,W02000304,90-100,26
2860,W02000305,0-10,758
2861,W02000305,10-20,644
2862,W02000305,20-30,745
2863,W02000305,30-40,815
2864,W02000305,40-50,713
2865,W02000305,50-60,938
2866,W02000305,60-70,687
2867,W02000305,70-80,579
2868,W02000305,80-90,244
2869,W02000305,90-100,29
2870,W02000306,0-10,541
2871,W02000306,10-20,517
2872,W02000306,20-30,584
2873,W02000306,30-40,582
2874,W02000306,40-50,668
2875,W02000306,50-60,813
2876,W02000306,60-70,615
2877,W02000306,70-80,518
2878,W02000306,80-90,204
2879,W02000306,90-100,54
2880,W02000307,0-10,984
2881,W02000307,10-20,804
2882,W02000307,20-30,798
2883,W02000307,30-40,952
2884,W02000307,40-50,801
2885,W02000307,50-60,838
2886,W02000307,60-70,654
2887,W02000307,70-80,475
2888,W02000307,80-90,174
2889,W02000307,90-100,25
2890,W02000308,0-10,1101
2891,W02000308,10-20,1034
2892,W02000308,20-30,1032
2893,W02000308,30-40,1183
2894,W02000308,40-50,1017
2895,W02000308,50-60,1299
2896,W02000308,60-70,1037
2897,W02000308,70-80,745
2898,W02000308,80-90,298
2899,W02000308,90-100,34
2900,W02000309,0-10,799
2901,W02000309,10-20,733
2902,W02000309,20-30,747
2903,W02000309,30-40,851
2904,W02000309,40-50,825
2905,W02000309,50-60,952
2906,W02000309,60-70,828
2907,W02000309,70-80,712
2908,W02000309,80-90,271
2909,W02000309,90-100,52
2910,W02000310,0-10,716
2911,W02000310,10-20,627
2912,W02000310,20-30,518
2913,W02000310,30-40,606
2914,W02000310,40-50,737
2915,W02000310,50-60,807
2916,W02000310,60-70,620
2917,W02000310,70-80,462
2918,W02000310,80-90,177
2919,W02000310,90-100,15
2920,W02000311,0-10,1304
2921,W02000311,10-20,1123
2922,W02000311,20-30,1073
2923,W02000311,30-40,1404
2924,W02000311,40-50,1160
2925,W02000311,50-60,1269
2926,W02000311,60-70,1141
2927,W02000311,70-80,940
2928,W02000311,80-90,329
2929,W02000311,90-100,30
2930,W02000312,0-10,825
2931,W02000312,10-20,850
2932,W02000312,20-30,778
2933,W02000312,30-40,879
2934,W02000312,40-50,897
2935,W02000312,50-60,971
2936,W02000312,60-70,956
2937,W02000312,70-80,738
2938,W02000312,80-90,300
2939,W02000312,90-100,33
2940,W02000313,0-10,1381
2941,W02000313,10-20,1181
2942,W02000313,20-30,1143
2943,W02000313,30-40,1419
2944,W02000313,40-50,1552
2945,W02000313,50-60,1467
2946,W02000313,60-70,1146
2947,W02000313,70-80,850
2948,W02000313,80-90,421
2949,W02000313,90-100,70
2950,W02000314,0-10,794
2951,W02000314,10-20,681
2952,W02000314,20-30,746
2953,W02000314,30-40,765
2954,W02000314,40-50,783
2955,W02000314,50-60,981
2956,W02000314,60-70,840
2957,W02000314,70-80,704
2958,W02000314,80-90,282
2959,W02000314,90-100,40
2960,W02000315,0-10,620
2961,W02000315,10-20,528
2962,W02000315,20-30,664
2963,W02000315,30-40,633
2964,W02000315,40-50,586
2965,W02000315,50-60,818
2966,W02000315,60-70,640
2967,W02000315,70-80,498
2968,W02000315,80-90,216
2969,W02000315,90-100,45
2970,W02000316,0-10,789
2971,W02000316,10-20,683
2972,W02000316,20-30,778
2973,W02000316,30-40,802
2974,W02000316,40-50,802
2975,W02000316,50-60,1008
2976,W02000316,60-70,846
2977,W02000316,70-80,679
2978,W02000316,80-90,243
2979,W02000316,90-100,33
2980,W02000317,0-10,967
2981,W02000317,10-20,794
2982,W02000317,20-30,1006
2983,W02000317,30-40,933
2984,W02000317,40-50,974
2985,W02000317,50-60,1201
2986,W02000317,60-70,844
2987,W02000317,70-80,752
2988,W02000317,80-90,275
2989,W02000317,90-100,42
2990,W02000318,0-10,1144
2991,W02000318,10-20,1005
2992,W02000318,20-30,1048
2993,W02000318,30-40,1155
2994,W02000318,40-50,1000
2995,W02000318,50-60,1510
2996,W02000318,60-70,1033
2997,W02000318,70-80,857
2998,W02000318,80-90,314
2999,W02000318,90-100,36
3000,W02000319,0-10,965
3001,W02000319,10-20,836
3002,W02000319,20-30,992
3003,W02000319,30-40,1103
3004,W02000319,40-50,953
3005,W02000319,50-60,1205
3006,W02000319,60-70,930
3007,W02000319,70-80,755
