,Middle Layer Super Output Areas Code,age,Count
373,W02000038,30-40,630
374,W02000038,40-50,747
375,W02000038,50-60,1010
376,W02000038,60-70,910
377,W02000038,70-80,797
378,W02000038,80-90,306
379,W02000038,90-100,50
380,W02000039,0-10,844
381,W02000039,10-20,734
382,W02000039,20-30,808
383,W02000039,30-40,864
384,W02000039,40-50,940
385,W02000039,50-60,1281
386,W02000039,60-70,1082
387,W02000039,70-80,877
388,W02000039,80-90,339
389,W02000039,90-100,67
390,W02000040,0-10,667
391,W02000040,10-20,672
392,W02000040,20-30,562
393,W02000040,30-40,607
394,W02000040,40-50,797
395,W02000040,50-60,1150
396,W02000040,60-70,1096
397,W02000040,70-80,733
398,W02000040,80-90,262
399,W02000040,90-100,57
400,W02000041,0-10,961
401,W02000041,10-20,784
402,W02000041,20-30,867
403,W02000041,30-40,845
404,W02000041,40-50,1001
405,W02000041,50-60,1445
406,W02000041,60-70,1168
407,W02000041,70-80,951
408,W02000041,80-90,410
409,W02000041,90-100,82
410,W02000042,0-10,627
411,W02000042,10-20,559
412,W02000042,20-30,570
413,W02000042,30-40,555
414,W02000042,40-50,555
415,W02000042,50-60,817
416,W02000042,60-70,892
417,W02000042,70-80,836
418,W02000042,80-90,398
419,W02000042,90-100,42
420,W02000043,0-10,590
421,W02000043,10-20,572
422,W02000043,20-30,549
423,W02000043,30-40,509
424,W02000043,40-50,597
425,W02000043,50-60,798
426,W02000043,60-70,660
427,W02000043,70-80,627
428,W02000043,80-90,272
429,W02000043,90-100,71
430,W02000044,0-10,542
431,W02000044,10-20,497
432,W02000044,20-30,476
433,W02000044,30-40,491
434,W02000044,40-50,576
435,W02000044,50-60,776
436,W02000044,60-70,783
437,W02000044,70-80,799
438,W02000044,80-90,309
439,W02000044,90-100,60
440,W02000045,0-10,1216
441,W02000045,10-20,1137
442,W02000045,20-30,1167
443,W02000045,30-40,1034
444,W02000045,40-50,1042
445,W02000045,50-60,1238
446,W02000045,60-70,1086
447,W02000045,70-80,1001
448,W02000045,80-90,494
449,W02000045,90-100,155
450,W02000047,0-10,964
451,W02000047,10-20,917
452,W02000047,20-30,656
453,W02000047,30-40,713
454,W02000047,40-50,654
455,W02000047,50-60,687
456,W02000047,60-70,492
457,W02000047,70-80,350
458,W02000047,80-90,118
459,W02000047,90-100,14
460,W02000049,0-10,789
461,W02000049,10-20,751
462,W02000049,20-30,656
463,W02000049,30-40,679
464,W02000049,40-50,817
465,W02000049,50-60,1060
466,W02000049,60-70,856
467,W02000049,70-80,747
468,W02000049,80-90,272
469,W02000049,90-100,33
470,W02000050,0-10,700
471,W02000050,10-20,641
472,W02000050,20-30,693
473,W02000050,30-40,696
474,W02000050,40-50,779
475,W02000050,50-60,950
476,W02000050,60-70,815
477,W02000050,70-80,758
478,W02000050,80-90,314
479,W02000050,90-100,35
480,W02000051,0-10,491
481,W02000051,10-20,508
482,W02000051,20-30,500
483,W02000051,30-40,529
484,W02000051,40-50,630
485,W02000051,50-60,821
486,W02000051,60-70,737
487,W02000051,70-80,724
488,W02000051,80-90,290
489,W02000051,90-100,73
490,W02000052,0-10,656
491,W02000052,10-20,574
492,W02000052,20-30,624
493,W02000052,30-40,565
494,W02000052,40-50,610
495,W02000052,50-60,767
496,W02000052,60-70,592
497,W02000052,70-80,406
498,W02000052,80-90,173
499,W02000052,90-100,40
500,W02000053,0-10,682
501,W02000053,10-20,690
502,W02000053,20-30,600
503,W02000053,30-40,679
504,W02000053,40-50,746
505,W02000053,50-60,993
506,W02000053,60-70,847
507,W02000053,70-80,705
508,W02000053,80-90,316
509,W02000053,90-100,55
510,W02000054,0-10,579
511,W02000054,10-20,619
512,W02000054,20-30,546
513,W02000054,30-40,520
514,W02000054,40-50,687
515,W02000054,50-60,1101
516,W02000054,60-70,1022
517,W02000054,70-80,736
518,W02000054,80-90,273
519,W02000054,90-100,50
520,W02000055,0-10,662
521,W02000055,10-20,699
522,W02000055,20-30,584
523,W02000055,30-40,592
524,W02000055,40-50,680
525,W02000055,50-60,802
526,W02000055,60-70,667
527,W02000055,70-80,631
528,W02000055,80-90,309
529,W02000055,90-100,69
530,W02000056,0-10,615
531,W02000056,10-20,549
532,W02000056,20-30,473
533,W02000056,30-40,504
534,W02000056,40-50,631
535,W02000056,50-60,877
