,Middle Layer Super Output Areas Code,Middle Layer Super Output Areas Label,Marital and civil partnership status (12 categories) Code,Marital and civil partnership status (12 categories) Label,Count
84582,W02000210,Neath Port Talbot 012,6,"Separated, but still married",100
84583,W02000210,Neath Port Talbot 012,7,"Separated, but still in a registered civil partnership",1
84584,W02000210,Neath Port Talbot 012,8,Divorced,520
84585,W02000210,Neath Port Talbot 012,9,Formerly in a civil partnership now legally dissolved,5
84586,W02000210,Neath Port Talbot 012,10,Widowed,267
84587,W02000210,Neath Port Talbot 012,11,Surviving partner from civil partnership,0
84588,W02000211,Neath Port Talbot 013,-8,Does not apply,1548
84589,W02000211,Neath Port Talbot 013,1,Never married and never registered a civil partnership,2562
84590,W02000211,Neath Port Talbot 013,2,Married: Opposite sex,2319
84591,W02000211,Neath Port Talbot 013,3,Married: Same sex,12
84592,W02000211,Neath Port Talbot 013,4,In a registered civil partnership: Opposite sex,6
84593,W02000211,Neath Port Talbot 013,5,In a registered civil partnership: Same sex,4
84594,W02000211,Neath Port Talbot 013,6,"Separated, but still married",188
84595,W02000211,Neath Port Talbot 013,7,"Separated, but still in a registered civil partnership",0
84596,W02000211,Neath Port Talbot 013,8,Divorced,742
84597,W02000211,Neath Port Talbot 013,9,Formerly in a civil partnership now legally dissolved,2
84598,W02000211,Neath Port Talbot 013,10,Widowed,436
84599,W02000211,Neath Port Talbot 013,11,Surviving partner from civil partnership,1
84600,W02000212,Neath Port Talbot 014,-8,Does not apply,1354
84601,W02000212,Neath Port Talbot 014,1,Never married and never registered a civil partnership,2245
84602,W02000212,Neath Port Talbot 014,2,Married: Opposite sex,2869
84603,W02000212,Neath Port Talbot 014,3,Married: Same sex,9
84604,W02000212,Neath Port Talbot 014,4,In a registered civil partnership: Opposite sex,0
84605,W02000212,Neath Port Talbot 014,5,In a registered civil partnership: Same sex,4
84606,W02000212,Neath Port Talbot 014,6,"Separated, but still married",117
84607,W02000212,Neath Port Talbot 014,7,"Separated, but still in a registered civil partnership",1
84608,W02000212,Neath Port Talbot 014,8,Divorced,677
84609,W02000212,Neath Port Talbot 014,9,Formerly in a civil partnership now legally dissolved,0
84610,W02000212,Neath Port Talbot 014,10,Widowed,461
84611,W02000212,Neath Port Talbot 014,11,Surviving partner from civil partnership,0
84612,W02000213,Neath Port Talbot 015,-8,Does not apply,1101
84613,W02000213,Neath Port Talbot 015,1,Never married and never registered a civil partnership,1761
84614,W02000213,Neath Port Talbot 015,2,Married: Opposite sex,2792
84615,W02000213,Neath Port Talbot 015,3,Married: Same sex,24
84616,W02000213,Neath Port Talbot 015,4,In a registered civil partnership: Opposite sex,2
84617,W02000213,Neath Port Talbot 015,5,In a registered civil partnership: Same sex,11
84618,W02000213,Neath Port Talbot 015,6,"Separated, but still married",90
84619,W02000213,Neath Port Talbot 015,7,"Separated, but still in a registered civil partnership",0
84620,W02000213,Neath Port Talbot 015,8,Divorced,526
84621,W02000213,Neath Port Talbot 015,9,Formerly in a civil partnership now legally dissolved,0
84622,W02000213,Neath Port Talbot 015,10,Widowed,446
84623,W02000213,Neath Port Talbot 015,11,Surviving partner from civil partnership,0
84624,W02000214,Neath Port Talbot 016,-8,Does not apply,1908
84625,W02000214,Neath Port Talbot 016,1,Never married and never registered a civil partnership,2975
84626,W02000214,Neath Port Talbot 016,2,Married: Opposite sex,2944
84627,W02000214,Neath Port Talbot 016,3,Married: Same sex,24
84628,W02000214,Neath Port Talbot 016,4,In a registered civil partnership: Opposite sex,18
84629,W02000214,Neath Port Talbot 016,5,In a registered civil partnership: Same sex,12
84630,W02000214,Neath Port Talbot 016,6,"Separated, but still married",188
84631,W02000214,Neath Port Talbot 016,7,"Separated, but still in a registered civil partnership",2
84632,W02000214,Neath Port Talbot 016,8,Divorced,882
84633,W02000214,Neath Port Talbot 016,9,Formerly in a civil partnership now legally dissolved,3
84634,W02000214,Neath Port Talbot 016,10,Widowed,698
84635,W02000214,Neath Port Talbot 016,11,Surviving partner from civil partnership,1
84636,W02000215,Neath Port Talbot 017,-8,Does not apply,1841
84637,W02000215,Neath Port Talbot 017,1,Never married and never registered a civil partnership,3007
84638,W02000215,Neath Port Talbot 017,2,Married: Opposite sex,2866
84639,W02000215,Neath Port Talbot 017,3,Married: Same sex,32
84640,W02000215,Neath Port Talbot 017,4,In a registered civil partnership: Opposite sex,4
84641,W02000215,Neath Port Talbot 017,5,In a registered civil partnership: Same sex,8
84642,W02000215,Neath Port Talbot 017,6,"Separated, but still married",218
84643,W02000215,Neath Port Talbot 017,7,"Separated, but still in a registered civil partnership",1
84644,W02000215,Neath Port Talbot 017,8,Divorced,937
84645,W02000215,Neath Port Talbot 017,9,Formerly in a civil partnership now legally dissolved,3
84646,W02000215,Neath Port Talbot 017,10,Widowed,546
84647,W02000215,Neath Port Talbot 017,11,Surviving partner from civil partnership,0
84648,W02000216,Neath Port Talbot 018,-8,Does not apply,1221
84649,W02000216,Neath Port Talbot 018,1,Never married and never registered a civil partnership,2199
84650,W02000216,Neath Port Talbot 018,2,Married: Opposite sex,2487
84651,W02000216,Neath Port Talbot 018,3,Married: Same sex,22
84652,W02000216,Neath Port Talbot 018,4,In a registered civil partnership: Opposite sex,2
84653,W02000216,Neath Port Talbot 018,5,In a registered civil partnership: Same sex,11
84654,W02000216,Neath Port Talbot 018,6,"Separated, but still married",142
84655,W02000216,Neath Port Talbot 018,7,"Separated, but still in a registered civil partnership",1
84656,W02000216,Neath Port Talbot 018,8,Divorced,658
84657,W02000216,Neath Port Talbot 018,9,Formerly in a civil partnership now legally dissolved,1
84658,W02000216,Neath Port Talbot 018,10,Widowed,447
84659,W02000216,Neath Port Talbot 018,11,Surviving partner from civil partnership,1
84660,W02000217,Neath Port Talbot 019,-8,Does not apply,1229
84661,W02000217,Neath Port Talbot 019,1,Never married and never registered a civil partnership,1826
84662,W02000217,Neath Port Talbot 019,2,Married: Opposite sex,2354
84663,W02000217,Neath Port Talbot 019,3,Married: Same sex,5
84664,W02000217,Neath Port Talbot 019,4,In a registered civil partnership: Opposite sex,2
84665,W02000217,Neath Port Talbot 019,5,In a registered civil partnership: Same sex,2
84666,W02000217,Neath Port Talbot 019,6,"Separated, but still married",109
84667,W02000217,Neath Port Talbot 019,7,"Separated, but still in a registered civil partnership",0
84668,W02000217,Neath Port Talbot 019,8,Divorced,514
84669,W02000217,Neath Port Talbot 019,9,Formerly in a civil partnership now legally dissolved,2
84670,W02000217,Neath Port Talbot 019,10,Widowed,351
84671,W02000217,Neath Port Talbot 019,11,Surviving partner from civil partnership,0
84672,W02000218,Bridgend 001,-8,Does not apply,1380
84673,W02000218,Bridgend 001,1,Never married and never registered a civil partnership,2222
84674,W02000218,Bridgend 001,2,Married: Opposite sex,2006
84675,W02000218,Bridgend 001,3,Married: Same sex,17
84676,W02000218,Bridgend 001,4,In a registered civil partnership: Opposite sex,5
84677,W02000218,Bridgend 001,5,In a registered civil partnership: Same sex,6
84678,W02000218,Bridgend 001,6,"Separated, but still married",111
84679,W02000218,Bridgend 001,7,"Separated, but still in a registered civil partnership",2
84680,W02000218,Bridgend 001,8,Divorced,504
84681,W02000218,Bridgend 001,9,Formerly in a civil partnership now legally dissolved,1
84682,W02000218,Bridgend 001,10,Widowed,410
84683,W02000218,Bridgend 001,11,Surviving partner from civil partnership,0
84684,W02000219,Bridgend 002,-8,Does not apply,1194
84685,W02000219,Bridgend 002,1,Never married and never registered a civil partnership,2169
84686,W02000219,Bridgend 002,2,Married: Opposite sex,2590
84687,W02000219,Bridgend 002,3,Married: Same sex,17
84688,W02000219,Bridgend 002,4,In a registered civil partnership: Opposite sex,0
84689,W02000219,Bridgend 002,5,In a registered civil partnership: Same sex,5
84690,W02000219,Bridgend 002,6,"Separated, but still married",112
84691,W02000219,Bridgend 002,7,"Separated, but still in a registered civil partnership",0
84692,W02000219,Bridgend 002,8,Divorced,635
84693,W02000219,Bridgend 002,9,Formerly in a civil partnership now legally dissolved,0
84694,W02000219,Bridgend 002,10,Widowed,450
84695,W02000219,Bridgend 002,11,Surviving partner from civil partnership,0
84696,W02000220,Bridgend 003,-8,Does not apply,1507
84697,W02000220,Bridgend 003,1,Never married and never registered a civil partnership,2479
84698,W02000220,Bridgend 003,2,Married: Opposite sex,2692
84699,W02000220,Bridgend 003,3,Married: Same sex,10
84700,W02000220,Bridgend 003,4,In a registered civil partnership: Opposite sex,6
84701,W02000220,Bridgend 003,5,In a registered civil partnership: Same sex,1
84702,W02000220,Bridgend 003,6,"Separated, but still married",152
84703,W02000220,Bridgend 003,7,"Separated, but still in a registered civil partnership",3
84704,W02000220,Bridgend 003,8,Divorced,660
84705,W02000220,Bridgend 003,9,Formerly in a civil partnership now legally dissolved,1
84706,W02000220,Bridgend 003,10,Widowed,470
84707,W02000220,Bridgend 003,11,Surviving partner from civil partnership,1
84708,W02000221,Bridgend 004,-8,Does not apply,1504
84709,W02000221,Bridgend 004,1,Never married and never registered a civil partnership,2476
84710,W02000221,Bridgend 004,2,Married: Opposite sex,2481
84711,W02000221,Bridgend 004,3,Married: Same sex,19
84712,W02000221,Bridgend 004,4,In a registered civil partnership: Opposite sex,4
84713,W02000221,Bridgend 004,5,In a registered civil partnership: Same sex,4
84714,W02000221,Bridgend 004,6,"Separated, but still married",138
84715,W02000221,Bridgend 004,7,"Separated, but still in a registered civil partnership",1
84716,W02000221,Bridgend 004,8,Divorced,638
84717,W02000221,Bridgend 004,9,Formerly in a civil partnership now legally dissolved,0
84718,W02000221,Bridgend 004,10,Widowed,424
84719,W02000221,Bridgend 004,11,Surviving partner from civil partnership,0
84720,W02000222,Bridgend 005,-8,Does not apply,1014
84721,W02000222,Bridgend 005,1,Never married and never registered a civil partnership,1654
84722,W02000222,Bridgend 005,2,Married: Opposite sex,2517
84723,W02000222,Bridgend 005,3,Married: Same sex,4
84724,W02000222,Bridgend 005,4,In a registered civil partnership: Opposite sex,6
84725,W02000222,Bridgend 005,5,In a registered civil partnership: Same sex,0
84726,W02000222,Bridgend 005,6,"Separated, but still married",62
84727,W02000222,Bridgend 005,7,"Separated, but still in a registered civil partnership",0
84728,W02000222,Bridgend 005,8,Divorced,459
84729,W02000222,Bridgend 005,9,Formerly in a civil partnership now legally dissolved,0
84730,W02000222,Bridgend 005,10,Widowed,455
84731,W02000222,Bridgend 005,11,Surviving partner from civil partnership,0
84732,W02000223,Bridgend 006,-8,Does not apply,1057
84733,W02000223,Bridgend 006,1,Never married and never registered a civil partnership,1725
84734,W02000223,Bridgend 006,2,Married: Opposite sex,2176
84735,W02000223,Bridgend 006,3,Married: Same sex,12
84736,W02000223,Bridgend 006,4,In a registered civil partnership: Opposite sex,8
84737,W02000223,Bridgend 006,5,In a registered civil partnership: Same sex,7
84738,W02000223,Bridgend 006,6,"Separated, but still married",106
84739,W02000223,Bridgend 006,7,"Separated, but still in a registered civil partnership",0
84740,W02000223,Bridgend 006,8,Divorced,576
84741,W02000223,Bridgend 006,9,Formerly in a civil partnership now legally dissolved,1
84742,W02000223,Bridgend 006,10,Widowed,336
84743,W02000223,Bridgend 006,11,Surviving partner from civil partnership,0
84744,W02000224,Bridgend 007,-8,Does not apply,1237
84745,W02000224,Bridgend 007,1,Never married and never registered a civil partnership,1970
84746,W02000224,Bridgend 007,2,Married: Opposite sex,2234
84747,W02000224,Bridgend 007,3,Married: Same sex,20
84748,W02000224,Bridgend 007,4,In a registered civil partnership: Opposite sex,4
84749,W02000224,Bridgend 007,5,In a registered civil partnership: Same sex,13
84750,W02000224,Bridgend 007,6,"Separated, but still married",117
84751,W02000224,Bridgend 007,7,"Separated, but still in a registered civil partnership",0
84752,W02000224,Bridgend 007,8,Divorced,565
84753,W02000224,Bridgend 007,9,Formerly in a civil partnership now legally dissolved,0
84754,W02000224,Bridgend 007,10,Widowed,338
84755,W02000224,Bridgend 007,11,Surviving partner from civil partnership,0
84756,W02000225,Bridgend 008,-8,Does not apply,1711
84757,W02000225,Bridgend 008,1,Never married and never registered a civil partnership,2658
84758,W02000225,Bridgend 008,2,Married: Opposite sex,3028
84759,W02000225,Bridgend 008,3,Married: Same sex,17
84760,W02000225,Bridgend 008,4,In a registered civil partnership: Opposite sex,8
84761,W02000225,Bridgend 008,5,In a registered civil partnership: Same sex,7
84762,W02000225,Bridgend 008,6,"Separated, but still married",153
84763,W02000225,Bridgend 008,7,"Separated, but still in a registered civil partnership",0
84764,W02000225,Bridgend 008,8,Divorced,760
84765,W02000225,Bridgend 008,9,Formerly in a civil partnership now legally dissolved,0
84766,W02000225,Bridgend 008,10,Widowed,538
84767,W02000225,Bridgend 008,11,Surviving partner from civil partnership,0
84768,W02000226,Bridgend 009,-8,Does not apply,1720
84769,W02000226,Bridgend 009,1,Never married and never registered a civil partnership,2590
84770,W02000226,Bridgend 009,2,Married: Opposite sex,4126
84771,W02000226,Bridgend 009,3,Married: Same sex,16
84772,W02000226,Bridgend 009,4,In a registered civil partnership: Opposite sex,6
84773,W02000226,Bridgend 009,5,In a registered civil partnership: Same sex,4
84774,W02000226,Bridgend 009,6,"Separated, but still married",173
84775,W02000226,Bridgend 009,7,"Separated, but still in a registered civil partnership",0
84776,W02000226,Bridgend 009,8,Divorced,785
84777,W02000226,Bridgend 009,9,Formerly in a civil partnership now legally dissolved,1
84778,W02000226,Bridgend 009,10,Widowed,587
84779,W02000226,Bridgend 009,11,Surviving partner from civil partnership,1
84780,W02000227,Bridgend 010,-8,Does not apply,1545
84781,W02000227,Bridgend 010,1,Never married and never registered a civil partnership,2176
84782,W02000227,Bridgend 010,2,Married: Opposite sex,2456
84783,W02000227,Bridgend 010,3,Married: Same sex,9
84784,W02000227,Bridgend 010,4,In a registered civil partnership: Opposite sex,2
84785,W02000227,Bridgend 010,5,In a registered civil partnership: Same sex,5
84786,W02000227,Bridgend 010,6,"Separated, but still married",128
84787,W02000227,Bridgend 010,7,"Separated, but still in a registered civil partnership",2
84788,W02000227,Bridgend 010,8,Divorced,676
84789,W02000227,Bridgend 010,9,Formerly in a civil partnership now legally dissolved,1
84790,W02000227,Bridgend 010,10,Widowed,401
84791,W02000227,Bridgend 010,11,Surviving partner from civil partnership,0
84792,W02000228,Bridgend 011,-8,Does not apply,2230
84793,W02000228,Bridgend 011,1,Never married and never registered a civil partnership,4320
84794,W02000228,Bridgend 011,2,Married: Opposite sex,4089
84795,W02000228,Bridgend 011,3,Married: Same sex,25
84796,W02000228,Bridgend 011,4,In a registered civil partnership: Opposite sex,2
84797,W02000228,Bridgend 011,5,In a registered civil partnership: Same sex,22
84798,W02000228,Bridgend 011,6,"Separated, but still married",223
84799,W02000228,Bridgend 011,7,"Separated, but still in a registered civil partnership",0
84800,W02000228,Bridgend 011,8,Divorced,812
84801,W02000228,Bridgend 011,9,Formerly in a civil partnership now legally dissolved,3
84802,W02000228,Bridgend 011,10,Widowed,434
84803,W02000228,Bridgend 011,11,Surviving partner from civil partnership,2
84804,W02000229,Bridgend 012,-8,Does not apply,1088
84805,W02000229,Bridgend 012,1,Never married and never registered a civil partnership,1704
84806,W02000229,Bridgend 012,2,Married: Opposite sex,2159
84807,W02000229,Bridgend 012,3,Married: Same sex,8
84808,W02000229,Bridgend 012,4,In a registered civil partnership: Opposite sex,0
84809,W02000229,Bridgend 012,5,In a registered civil partnership: Same sex,2
84810,W02000229,Bridgend 012,6,"Separated, but still married",139
84811,W02000229,Bridgend 012,7,"Separated, but still in a registered civil partnership",1
84812,W02000229,Bridgend 012,8,Divorced,647
84813,W02000229,Bridgend 012,9,Formerly in a civil partnership now legally dissolved,0
84814,W02000229,Bridgend 012,10,Widowed,379
84815,W02000229,Bridgend 012,11,Surviving partner from civil partnership,0
84816,W02000230,Bridgend 013,-8,Does not apply,889
84817,W02000230,Bridgend 013,1,Never married and never registered a civil partnership,1315
84818,W02000230,Bridgend 013,2,Married: Opposite sex,2656
84819,W02000230,Bridgend 013,3,Married: Same sex,21
84820,W02000230,Bridgend 013,4,In a registered civil partnership: Opposite sex,0
84821,W02000230,Bridgend 013,5,In a registered civil partnership: Same sex,2
84822,W02000230,Bridgend 013,6,"Separated, but still married",76
84823,W02000230,Bridgend 013,7,"Separated, but still in a registered civil partnership",0
84824,W02000230,Bridgend 013,8,Divorced,393
84825,W02000230,Bridgend 013,9,Formerly in a civil partnership now legally dissolved,0
84826,W02000230,Bridgend 013,10,Widowed,325
84827,W02000230,Bridgend 013,11,Surviving partner from civil partnership,1
84828,W02000231,Bridgend 014,-8,Does not apply,1471
84829,W02000231,Bridgend 014,1,Never married and never registered a civil partnership,2680
84830,W02000231,Bridgend 014,2,Married: Opposite sex,2576
84831,W02000231,Bridgend 014,3,Married: Same sex,17
84832,W02000231,Bridgend 014,4,In a registered civil partnership: Opposite sex,1
84833,W02000231,Bridgend 014,5,In a registered civil partnership: Same sex,4
84834,W02000231,Bridgend 014,6,"Separated, but still married",191
84835,W02000231,Bridgend 014,7,"Separated, but still in a registered civil partnership",1
84836,W02000231,Bridgend 014,8,Divorced,889
84837,W02000231,Bridgend 014,9,Formerly in a civil partnership now legally dissolved,0
84838,W02000231,Bridgend 014,10,Widowed,487
84839,W02000231,Bridgend 014,11,Surviving partner from civil partnership,0
84840,W02000232,Bridgend 015,-8,Does not apply,993
84841,W02000232,Bridgend 015,1,Never married and never registered a civil partnership,1597
84842,W02000232,Bridgend 015,2,Married: Opposite sex,2299
84843,W02000232,Bridgend 015,3,Married: Same sex,17
84844,W02000232,Bridgend 015,4,In a registered civil partnership: Opposite sex,2
84845,W02000232,Bridgend 015,5,In a registered civil partnership: Same sex,8
84846,W02000232,Bridgend 015,6,"Separated, but still married",82
84847,W02000232,Bridgend 015,7,"Separated, but still in a registered civil partnership",0
84848,W02000232,Bridgend 015,8,Divorced,467
84849,W02000232,Bridgend 015,9,Formerly in a civil partnership now legally dissolved,4
84850,W02000232,Bridgend 015,10,Widowed,277
84851,W02000232,Bridgend 015,11,Surviving partner from civil partnership,1
84852,W02000233,Bridgend 016,-8,Does not apply,1250
84853,W02000233,Bridgend 016,1,Never married and never registered a civil partnership,1801
84854,W02000233,Bridgend 016,2,Married: Opposite sex,2157
84855,W02000233,Bridgend 016,3,Married: Same sex,15
84856,W02000233,Bridgend 016,4,In a registered civil partnership: Opposite sex,6
84857,W02000233,Bridgend 016,5,In a registered civil partnership: Same sex,4
84858,W02000233,Bridgend 016,6,"Separated, but still married",120
84859,W02000233,Bridgend 016,7,"Separated, but still in a registered civil partnership",2
84860,W02000233,Bridgend 016,8,Divorced,571
84861,W02000233,Bridgend 016,9,Formerly in a civil partnership now legally dissolved,2
84862,W02000233,Bridgend 016,10,Widowed,276
84863,W02000233,Bridgend 016,11,Surviving partner from civil partnership,0
84864,W02000234,Bridgend 017,-8,Does not apply,2145
84865,W02000234,Bridgend 017,1,Never married and never registered a civil partnership,2617
84866,W02000234,Bridgend 017,2,Married: Opposite sex,4391
84867,W02000234,Bridgend 017,3,Married: Same sex,30
84868,W02000234,Bridgend 017,4,In a registered civil partnership: Opposite sex,6
84869,W02000234,Bridgend 017,5,In a registered civil partnership: Same sex,4
84870,W02000234,Bridgend 017,6,"Separated, but still married",164
84871,W02000234,Bridgend 017,7,"Separated, but still in a registered civil partnership",1
84872,W02000234,Bridgend 017,8,Divorced,800
84873,W02000234,Bridgend 017,9,Formerly in a civil partnership now legally dissolved,1
84874,W02000234,Bridgend 017,10,Widowed,479
84875,W02000234,Bridgend 017,11,Surviving partner from civil partnership,1
84876,W02000235,Bridgend 018,-8,Does not apply,1146
84877,W02000235,Bridgend 018,1,Never married and never registered a civil partnership,2016
84878,W02000235,Bridgend 018,2,Married: Opposite sex,4083
84879,W02000235,Bridgend 018,3,Married: Same sex,21
84880,W02000235,Bridgend 018,4,In a registered civil partnership: Opposite sex,0
84881,W02000235,Bridgend 018,5,In a registered civil partnership: Same sex,10
84882,W02000235,Bridgend 018,6,"Separated, but still married",118
84883,W02000235,Bridgend 018,7,"Separated, but still in a registered civil partnership",0
84884,W02000235,Bridgend 018,8,Divorced,852
84885,W02000235,Bridgend 018,9,Formerly in a civil partnership now legally dissolved,1
84886,W02000235,Bridgend 018,10,Widowed,925
84887,W02000235,Bridgend 018,11,Surviving partner from civil partnership,0
84888,W02000236,Bridgend 019,-8,Does not apply,925
84889,W02000236,Bridgend 019,1,Never married and never registered a civil partnership,1759
84890,W02000236,Bridgend 019,2,Married: Opposite sex,2858
84891,W02000236,Bridgend 019,3,Married: Same sex,13
84892,W02000236,Bridgend 019,4,In a registered civil partnership: Opposite sex,6
84893,W02000236,Bridgend 019,5,In a registered civil partnership: Same sex,9
84894,W02000236,Bridgend 019,6,"Separated, but still married",109
84895,W02000236,Bridgend 019,7,"Separated, but still in a registered civil partnership",1
84896,W02000236,Bridgend 019,8,Divorced,718
84897,W02000236,Bridgend 019,9,Formerly in a civil partnership now legally dissolved,2
84898,W02000236,Bridgend 019,10,Widowed,562
84899,W02000236,Bridgend 019,11,Surviving partner from civil partnership,0
84900,W02000237,Vale of Glamorgan 001,-8,Does not apply,1072
84901,W02000237,Vale of Glamorgan 001,1,Never married and never registered a civil partnership,1193
84902,W02000237,Vale of Glamorgan 001,2,Married: Opposite sex,3096
84903,W02000237,Vale of Glamorgan 001,3,Married: Same sex,18
84904,W02000237,Vale of Glamorgan 001,4,In a registered civil partnership: Opposite sex,0
84905,W02000237,Vale of Glamorgan 001,5,In a registered civil partnership: Same sex,6
84906,W02000237,Vale of Glamorgan 001,6,"Separated, but still married",54
84907,W02000237,Vale of Glamorgan 001,7,"Separated, but still in a registered civil partnership",0
84908,W02000237,Vale of Glamorgan 001,8,Divorced,378
84909,W02000237,Vale of Glamorgan 001,9,Formerly in a civil partnership now legally dissolved,0
84910,W02000237,Vale of Glamorgan 001,10,Widowed,322
84911,W02000237,Vale of Glamorgan 001,11,Surviving partner from civil partnership,0
84912,W02000238,Vale of Glamorgan 002,-8,Does not apply,1114
84913,W02000238,Vale of Glamorgan 002,1,Never married and never registered a civil partnership,1120
84914,W02000238,Vale of Glamorgan 002,2,Married: Opposite sex,3210
84915,W02000238,Vale of Glamorgan 002,3,Married: Same sex,20
84916,W02000238,Vale of Glamorgan 002,4,In a registered civil partnership: Opposite sex,2
84917,W02000238,Vale of Glamorgan 002,5,In a registered civil partnership: Same sex,8
84918,W02000238,Vale of Glamorgan 002,6,"Separated, but still married",94
84919,W02000238,Vale of Glamorgan 002,7,"Separated, but still in a registered civil partnership",1
84920,W02000238,Vale of Glamorgan 002,8,Divorced,454
84921,W02000238,Vale of Glamorgan 002,9,Formerly in a civil partnership now legally dissolved,1
84922,W02000238,Vale of Glamorgan 002,10,Widowed,528
84923,W02000238,Vale of Glamorgan 002,11,Surviving partner from civil partnership,0
84924,W02000239,Vale of Glamorgan 003,-8,Does not apply,1337
84925,W02000239,Vale of Glamorgan 003,1,Never married and never registered a civil partnership,1758
84926,W02000239,Vale of Glamorgan 003,2,Married: Opposite sex,3916
84927,W02000239,Vale of Glamorgan 003,3,Married: Same sex,24
84928,W02000239,Vale of Glamorgan 003,4,In a registered civil partnership: Opposite sex,0
84929,W02000239,Vale of Glamorgan 003,5,In a registered civil partnership: Same sex,14
84930,W02000239,Vale of Glamorgan 003,6,"Separated, but still married",73
84931,W02000239,Vale of Glamorgan 003,7,"Separated, but still in a registered civil partnership",0
84932,W02000239,Vale of Glamorgan 003,8,Divorced,497
84933,W02000239,Vale of Glamorgan 003,9,Formerly in a civil partnership now legally dissolved,3
84934,W02000239,Vale of Glamorgan 003,10,Widowed,386
84935,W02000239,Vale of Glamorgan 003,11,Surviving partner from civil partnership,0
84936,W02000240,Vale of Glamorgan 004,-8,Does not apply,1805
84937,W02000240,Vale of Glamorgan 004,1,Never married and never registered a civil partnership,2428
84938,W02000240,Vale of Glamorgan 004,2,Married: Opposite sex,3381
84939,W02000240,Vale of Glamorgan 004,3,Married: Same sex,30
84940,W02000240,Vale of Glamorgan 004,4,In a registered civil partnership: Opposite sex,0
84941,W02000240,Vale of Glamorgan 004,5,In a registered civil partnership: Same sex,12
84942,W02000240,Vale of Glamorgan 004,6,"Separated, but still married",134
84943,W02000240,Vale of Glamorgan 004,7,"Separated, but still in a registered civil partnership",0
84944,W02000240,Vale of Glamorgan 004,8,Divorced,707
84945,W02000240,Vale of Glamorgan 004,9,Formerly in a civil partnership now legally dissolved,1
84946,W02000240,Vale of Glamorgan 004,10,Widowed,500
84947,W02000240,Vale of Glamorgan 004,11,Surviving partner from civil partnership,0
84948,W02000241,Vale of Glamorgan 005,-8,Does not apply,1733
84949,W02000241,Vale of Glamorgan 005,1,Never married and never registered a civil partnership,2831
84950,W02000241,Vale of Glamorgan 005,2,Married: Opposite sex,3701
84951,W02000241,Vale of Glamorgan 005,3,Married: Same sex,46
84952,W02000241,Vale of Glamorgan 005,4,In a registered civil partnership: Opposite sex,12
84953,W02000241,Vale of Glamorgan 005,5,In a registered civil partnership: Same sex,17
84954,W02000241,Vale of Glamorgan 005,6,"Separated, but still married",178
84955,W02000241,Vale of Glamorgan 005,7,"Separated, but still in a registered civil partnership",1
84956,W02000241,Vale of Glamorgan 005,8,Divorced,1010
84957,W02000241,Vale of Glamorgan 005,9,Formerly in a civil partnership now legally dissolved,5
84958,W02000241,Vale of Glamorgan 005,10,Widowed,641
84959,W02000241,Vale of Glamorgan 005,11,Surviving partner from civil partnership,0
84960,W02000242,Vale of Glamorgan 006,-8,Does not apply,1428
84961,W02000242,Vale of Glamorgan 006,1,Never married and never registered a civil partnership,1862
84962,W02000242,Vale of Glamorgan 006,2,Married: Opposite sex,3561
84963,W02000242,Vale of Glamorgan 006,3,Married: Same sex,36
84964,W02000242,Vale of Glamorgan 006,4,In a registered civil partnership: Opposite sex,10
84965,W02000242,Vale of Glamorgan 006,5,In a registered civil partnership: Same sex,12
84966,W02000242,Vale of Glamorgan 006,6,"Separated, but still married",103
84967,W02000242,Vale of Glamorgan 006,7,"Separated, but still in a registered civil partnership",3
84968,W02000242,Vale of Glamorgan 006,8,Divorced,595
84969,W02000242,Vale of Glamorgan 006,9,Formerly in a civil partnership now legally dissolved,1
84970,W02000242,Vale of Glamorgan 006,10,Widowed,605
84971,W02000242,Vale of Glamorgan 006,11,Surviving partner from civil partnership,0
84972,W02000243,Vale of Glamorgan 007,-8,Does not apply,2128
84973,W02000243,Vale of Glamorgan 007,1,Never married and never registered a civil partnership,3127
84974,W02000243,Vale of Glamorgan 007,2,Married: Opposite sex,2638
84975,W02000243,Vale of Glamorgan 007,3,Married: Same sex,32
84976,W02000243,Vale of Glamorgan 007,4,In a registered civil partnership: Opposite sex,3
84977,W02000243,Vale of Glamorgan 007,5,In a registered civil partnership: Same sex,13
84978,W02000243,Vale of Glamorgan 007,6,"Separated, but still married",164
84979,W02000243,Vale of Glamorgan 007,7,"Separated, but still in a registered civil partnership",1
84980,W02000243,Vale of Glamorgan 007,8,Divorced,770
84981,W02000243,Vale of Glamorgan 007,9,Formerly in a civil partnership now legally dissolved,0
84982,W02000243,Vale of Glamorgan 007,10,Widowed,476
84983,W02000243,Vale of Glamorgan 007,11,Surviving partner from civil partnership,0
84984,W02000244,Vale of Glamorgan 008,-8,Does not apply,1908
84985,W02000244,Vale of Glamorgan 008,1,Never married and never registered a civil partnership,2267
84986,W02000244,Vale of Glamorgan 008,2,Married: Opposite sex,4398
84987,W02000244,Vale of Glamorgan 008,3,Married: Same sex,14
84988,W02000244,Vale of Glamorgan 008,4,In a registered civil partnership: Opposite sex,2
84989,W02000244,Vale of Glamorgan 008,5,In a registered civil partnership: Same sex,11
84990,W02000244,Vale of Glamorgan 008,6,"Separated, but still married",140
84991,W02000244,Vale of Glamorgan 008,7,"Separated, but still in a registered civil partnership",0
84992,W02000244,Vale of Glamorgan 008,8,Divorced,781
