,Middle Layer Super Output Areas Code,Middle Layer Super Output Areas Label,Marital and civil partnership status (12 categories) Code,Marital and civil partnership status (12 categories) Label,Count
82416,W02000013,Gwynedd 004,-8,Does not apply,1156
82417,W02000013,Gwynedd 004,1,Never married and never registered a civil partnership,2045
82418,W02000013,Gwynedd 004,2,Married: Opposite sex,2308
82419,W02000013,Gwynedd 004,3,Married: Same sex,10
82420,W02000013,Gwynedd 004,4,In a registered civil partnership: Opposite sex,2
82421,W02000013,Gwynedd 004,5,In a registered civil partnership: Same sex,4
82422,W02000013,Gwynedd 004,6,"Separated, but still married",81
82423,W02000013,Gwynedd 004,7,"Separated, but still in a registered civil partnership",0
82424,W02000013,Gwynedd 004,8,Divorced,447
82425,W02000013,Gwynedd 004,9,Formerly in a civil partnership now legally dissolved,0
82426,W02000013,Gwynedd 004,10,Widowed,371
82427,W02000013,Gwynedd 004,11,Surviving partner from civil partnership,1
82428,W02000014,Gwynedd 005,-8,Does not apply,1162
82429,W02000014,Gwynedd 005,1,Never married and never registered a civil partnership,2363
82430,W02000014,Gwynedd 005,2,Married: Opposite sex,2165
82431,W02000014,Gwynedd 005,3,Married: Same sex,15
82432,W02000014,Gwynedd 005,4,In a registered civil partnership: Opposite sex,14
82433,W02000014,Gwynedd 005,5,In a registered civil partnership: Same sex,12
82434,W02000014,Gwynedd 005,6,"Separated, but still married",111
82435,W02000014,Gwynedd 005,7,"Separated, but still in a registered civil partnership",0
82436,W02000014,Gwynedd 005,8,Divorced,543
82437,W02000014,Gwynedd 005,9,Formerly in a civil partnership now legally dissolved,0
82438,W02000014,Gwynedd 005,10,Widowed,355
82439,W02000014,Gwynedd 005,11,Surviving partner from civil partnership,0
82440,W02000015,Gwynedd 006,-8,Does not apply,1798
82441,W02000015,Gwynedd 006,1,Never married and never registered a civil partnership,2843
82442,W02000015,Gwynedd 006,2,Married: Opposite sex,2573
82443,W02000015,Gwynedd 006,3,Married: Same sex,11
82444,W02000015,Gwynedd 006,4,In a registered civil partnership: Opposite sex,5
82445,W02000015,Gwynedd 006,5,In a registered civil partnership: Same sex,8
82446,W02000015,Gwynedd 006,6,"Separated, but still married",118
82447,W02000015,Gwynedd 006,7,"Separated, but still in a registered civil partnership",0
82448,W02000015,Gwynedd 006,8,Divorced,664
82449,W02000015,Gwynedd 006,9,Formerly in a civil partnership now legally dissolved,2
82450,W02000015,Gwynedd 006,10,Widowed,493
82451,W02000015,Gwynedd 006,11,Surviving partner from civil partnership,0
82452,W02000016,Gwynedd 007,-8,Does not apply,1127
82453,W02000016,Gwynedd 007,1,Never married and never registered a civil partnership,1889
82454,W02000016,Gwynedd 007,2,Married: Opposite sex,2369
82455,W02000016,Gwynedd 007,3,Married: Same sex,8
82456,W02000016,Gwynedd 007,4,In a registered civil partnership: Opposite sex,6
82457,W02000016,Gwynedd 007,5,In a registered civil partnership: Same sex,5
82458,W02000016,Gwynedd 007,6,"Separated, but still married",89
